"Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Previous.qualification..grade.","Nacionality","Admission.grade","Displaced","Educational.special.needs","Debtor","Gender","Scholarship.holder","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..approved.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..approved.","Unemployment.rate","Target"
"single","second choice","Management (evening attendance)","evening","Secondary education",130,"Portuguese",120,"no","no","no","female","no",5,NA,5,5,9.4,"Dropout"
"single","second choice","Nursing","daytime","Secondary education",130,"Portuguese",129.1,"yes","no","no","female","no",NA,7,8,8,15.5,"Graduate"
"married","second choice","Tourism","daytime","Higher education - degree",130,"Portuguese",130,"no","no","no",NA,"no",6,0,6,0,12.4,"Dropout"
"single","second choice","Equinculture","daytime","Higher education - degree (1st cycle)",129,NA,155.3,"yes","no","no","female","no",6,5,11,NA,12.4,"Dropout"
"single","second choice","Nursing","daytime","Secondary education",141,"Portuguese",139.8,"yes","no","no","female","no",8,8,8,8,9.4,"Graduate"
"single","fourth choice","Animation and Multimedia Design","daytime","Secondary education",125,"Portuguese",115.2,"yes","no","no","female","no",0,0,0,0,7.6,"Enrolled"
"single","third choice","Nursing","daytime","Secondary education",125,"Portuguese",114.9,"no","no","no","female","no",7,6,8,NA,16.2,"Graduate"
"single","second choice","Social Service","daytime","Technological specialization course",130,"Portuguese",131.9,NA,"no","no","female","yes",6,6,NA,6,13.9,"Graduate"
"single","fourth choice","Animation and Multimedia Design","daytime","Secondary education",133,"Portuguese",126,"yes","no","no","male","yes",0,NA,0,0,10.8,"Enrolled"
"single","second choice","Communication Design","daytime","Secondary education",127,"Portuguese",130.2,"yes","no","no","male",NA,6,5,6,NA,10.8,"Enrolled"
"single","second choice","Communication Design","daytime","Secondary education",NA,"Portuguese",120.9,"no","no","no","male",NA,6,NA,6,0,12.7,"Enrolled"
"divorced",NA,"Nursing","daytime","Basic education 3rd cycle (9th/10th/11th year) or equiv.",133.1,"Portuguese",126,"yes","no","no","male","no",NA,5,8,5,13.9,"Dropout"
"single","fourth choice","Animation and Multimedia Design","daytime","Secondary education",139,"Portuguese",128.2,"yes","no","no","male","yes",0,NA,0,NA,10.8,"Graduate"
"single",NA,"Agronomy","daytime","Technological specialization course",130,"Portuguese",130,"yes","no",NA,"male","no",6,NA,6,6,8.9,"Graduate"
"single","fourth choice","Management","daytime","Secondary education",125,"Portuguese",120.1,"no","no","yes","male","no",NA,NA,NA,NA,16.2,"Dropout"
"single","second choice","Tourism","daytime",NA,160,"Portuguese",100,"no","no","no","male","no",6,6,6,5,12.7,"Enrolled"
"single","second choice","Management","daytime","Secondary education",148,"Portuguese",134,"no","no",NA,"male","no",5,NA,5,0,7.6,"Enrolled"
"single","second choice","Nursing","daytime","Secondary education",150,"Portuguese",130.8,"no","no","no","male","no",7,7,8,8,13.9,"Graduate"
"single","second choice","Animation and Multimedia Design","daytime","Secondary education",141,"Portuguese",135.8,"yes","no",NA,"male","no",0,0,0,0,15.5,"Dropout"
"single","fifth choice","Tourism","daytime","Secondary education",118,"Portuguese",111.7,"yes","no","no","male","no",6,3,NA,1,12.4,"Dropout"
"single","third choice","Journalism and Communication","daytime","Secondary education",142,"Portuguese",132.9,"yes","no",NA,NA,"no",6,6,6,3,10.8,"Graduate"
"single","fourth choice","Management","daytime","Secondary education",120,"Portuguese",NA,NA,"no","yes","male","no",NA,3,5,3,10.8,"Dropout"
"single",NA,"Tourism","daytime","Secondary education",106,"Portuguese",106,"yes","no","no","male","yes",6,4,6,1,9.4,"Dropout"
NA,"fifth choice","Journalism and Communication","daytime","Secondary education",121,"Portuguese",120.3,"yes","no","yes","male","yes",NA,6,6,6,8.9,"Graduate"
"single","fifth choice","Nursing","daytime","Secondary education",150,NA,130.8,"no","no",NA,"male","yes",7,7,8,8,16.2,"Graduate"
"married","second choice","Social Service (evening attendance)",NA,"Secondary education",120,"Portuguese",117,"no","no","no","male","no",6,NA,6,6,10.8,"Graduate"
"single","seventh chioce","Basic Education","daytime","Secondary education",NA,"Portuguese",110.2,"yes","no","no","male","no",6,5,6,5,10.8,"Dropout"
"single","second choice","Management (evening attendance)","evening","Higher education - bachelor's degree",140,"Portuguese",155.7,"yes","no","no","male","no",1,0,5,0,10.8,"Dropout"
"single","second choice","Agronomy","daytime","Higher education - master's",NA,"Portuguese",180.4,"no","no","yes","male","no",12,6,12,NA,NA,"Dropout"
"single","second choice","Tourism","daytime","Secondary education",120,"Portuguese",125.5,"no","no","no","male","no",5,5,5,3,NA,"Enrolled"
"married",NA,"Social Service (evening attendance)","evening","Secondary education",130,"Portuguese",110,"yes","no","no","female","no",6,6,6,5,9.4,"Graduate"
"single",NA,"Nursing","daytime","Secondary education",160,"Portuguese",161,"yes","no","no","female","yes",8,7,8,7,10.8,"Graduate"
"single","second choice","Advertising and Marketing Management",NA,"Secondary education",120,"Portuguese",100,"no","no",NA,"female","yes",5,4,NA,5,9.4,"Graduate"
"single","second choice","Communication Design","daytime","Secondary education",124,NA,117.6,"yes","no",NA,"male","no",6,6,6,5,7.6,"Graduate"
"single","seventh chioce",NA,"daytime","Secondary education",143,"Portuguese",128.7,"yes","no","no","male","no",5,4,5,5,11.1,"Enrolled"
"single","third choice","Informatics Engineering","daytime","Secondary education",115,"Portuguese",112.2,"yes","no","yes","male","no",5,2,5,0,15.5,"Enrolled"
NA,"second choice","Nursing","daytime","Secondary education",133.1,"Portuguese",100.8,"no","no","no",NA,"no",7,0,7,0,13.9,"Dropout"
"single","third choice","Journalism and Communication","daytime","Secondary education",133.1,NA,105,"yes","no","no","female","no",6,6,6,6,8.9,"Graduate"
"single",NA,"Equinculture","daytime","Secondary education",133.1,"Brazilian",100,"no","no","no","female","no",6,2,6,0,8.9,"Dropout"
"married","second choice","Basic Education","daytime","11th year of schooling - not completed",133.1,"Portuguese",115.5,"no","no",NA,"female","no",6,NA,6,0,7.6,"Dropout"
"married","second choice","Social Service (evening attendance)","evening","Secondary education",133.1,"Portuguese",114,"no","no","no","female","no",8,8,6,6,12.7,"Graduate"
"single","second choice","Informatics Engineering",NA,"Secondary education",130,"Santomean",137,"yes","no",NA,"male","no",5,5,5,3,13.9,"Enrolled"
"single","sixth choice","Journalism and Communication","daytime","Secondary education",135,"Portuguese",124.9,"yes","no","no","female","no",6,6,6,6,8.9,"Graduate"
"single","sixth choice","Nursing",NA,"Secondary education",132,"Portuguese",120.3,"yes","no","no","female","yes",7,7,8,8,NA,"Graduate"
"single",NA,"Veterinary Nursing","daytime","Secondary education",135,"Portuguese",134.3,"yes","no","no","female","no",5,NA,5,NA,12.7,"Enrolled"
"single","fifth choice","Nursing","daytime","Secondary education",115,"Portuguese",111.5,"yes","no","yes","female","no",7,4,7,0,NA,"Dropout"
"single","second choice","Veterinary Nursing","daytime","Professional higher technical course",130,"Portuguese",128.8,"no",NA,"no","female","no",10,8,9,5,8.9,"Dropout"
"single",NA,"Animation and Multimedia Design","daytime","Secondary education",133.1,"Portuguese",110,NA,"no","no","female",NA,NA,0,0,0,16.2,"Graduate"
"married","second choice","Social Service (evening attendance)","evening","Secondary education",130,"Portuguese",113.5,"yes","no","no",NA,"no",6,0,6,NA,9.4,"Dropout"
"divorced","second choice","Agronomy",NA,"Other - 11th year of schooling",NA,"Portuguese",160,"no",NA,"no","female","no",18,18,13,13,15.5,"Graduate"
NA,NA,NA,"daytime","Secondary education",123,"Portuguese",117.4,"yes","no","no","female","no",6,0,6,0,11.1,"Dropout"
"single","second choice","Communication Design","daytime","Secondary education",NA,"Portuguese",122.2,"no","no","yes","female","no",10,10,11,11,11.1,"Graduate"
"single","third choice","Social Service","daytime","Secondary education",NA,"Portuguese",NA,"yes","no","no","female","no",6,0,6,0,16.2,"Dropout"
NA,"second choice",NA,"daytime","Secondary education",113,"Portuguese",106.7,"yes","no","no",NA,"no",NA,4,6,4,15.5,"Dropout"
"single",NA,NA,"daytime","Secondary education",111,NA,108.2,"yes","no","no","female","no",7,6,7,5,12.4,"Dropout"
"single","third choice","Basic Education","daytime","Secondary education",133.1,"Portuguese",107,"yes","no","no","female","no",7,6,7,3,16.2,"Enrolled"
"single","second choice","Social Service","daytime","Secondary education",142,"Portuguese",136.1,"yes","no","no","female","no",6,6,6,NA,13.9,"Graduate"
"single","third choice","Management","daytime","Secondary education",123,"Portuguese",115.3,"yes","no","no","female","yes",5,3,5,3,8.9,"Enrolled"
"single","second choice","Veterinary Nursing","daytime","Secondary education",NA,"Portuguese",139.8,"yes","no","no","female","no",5,5,5,5,10.8,"Graduate"
NA,"fourth choice",NA,"daytime","Secondary education",158,"Portuguese",157,"yes","no",NA,NA,NA,6,6,6,6,10.8,"Graduate"
NA,"third choice",NA,"daytime","Secondary education",122,"Portuguese",131,"yes",NA,"no",NA,"no",7,6,7,6,7.6,"Dropout"
"single","second choice","Nursing","daytime","Secondary education",130,"Portuguese",100,"no","no",NA,NA,"no",7,6,7,7,13.9,"Enrolled"
"single","second choice","Social Service","daytime","Secondary education",154,"Portuguese",140.4,"yes","no","no",NA,"yes",6,2,6,4,NA,"Enrolled"
"single","second choice","Management","daytime",NA,120,"Portuguese",113.4,"no","no","no","female","no",5,3,5,3,12.4,"Enrolled"
"single","third choice","Veterinary Nursing","daytime","Secondary education",140,"Portuguese",NA,"no","no","no","female","no",5,5,5,5,9.4,"Graduate"
"single","second choice","Management","daytime","Secondary education",127,"Portuguese",121.8,"no","no","no","female","no",5,5,5,5,11.1,"Graduate"
"single","second choice","Tourism","daytime","Secondary education",133.1,"Portuguese",131,"yes","no","no","female","no",6,3,6,2,9.4,"Dropout"
"single","third choice","Management","daytime","Secondary education",120,"Portuguese",NA,"yes","no","no","female","no",5,5,5,4,16.2,"Graduate"
"single","second choice","Animation and Multimedia Design","daytime","Secondary education",NA,NA,NA,"no","no","no","female","no",0,0,0,0,10.8,"Dropout"
"single","second choice","Advertising and Marketing Management","daytime","Secondary education",131,"Portuguese",127.9,NA,"no","no","female","yes",5,5,5,5,9.4,"Graduate"
"single","second choice","Veterinary Nursing",NA,"Secondary education",130,"Portuguese",121.3,"yes","no","no","female","no",6,6,6,NA,15.5,"Graduate"
"single","seventh chioce","Oral Hygiene","daytime","Secondary education",122,NA,117.1,"yes",NA,NA,"female","no",7,5,7,0,13.9,"Dropout"
"single","second choice",NA,"daytime","Technological specialization course",160,"Portuguese",160,"yes","no","no","female","no",NA,6,6,5,12.4,"Graduate"
NA,"second choice","Basic Education","daytime","Secondary education",146,"Portuguese",NA,"yes","no","no","female","yes",6,NA,6,5,9.4,"Enrolled"
"single","fourth choice","Social Service","daytime","Secondary education",131,"Portuguese",122.6,"yes","no","no","female","no",6,6,6,6,NA,"Graduate"
"single","seventh chioce","Nursing","daytime","Secondary education",NA,"Portuguese",128,"yes","no","no","female","no",7,7,8,8,12.4,"Graduate"
"single","fourth choice","Nursing","daytime",NA,138,"Portuguese",124.9,NA,"no","no","female","yes",7,7,NA,7,13.9,"Dropout"
"single","third choice","Communication Design","daytime",NA,130,"Portuguese",123.7,"yes","no","no","female","no",6,6,6,6,7.6,"Graduate"
"single","fifth choice","Management","daytime","Secondary education",126,"Portuguese",120.1,"yes","no","no",NA,"no",5,5,5,5,8.9,"Graduate"
"single","seventh chioce",NA,"daytime","Secondary education",148,"Portuguese",NA,"yes","no","no","female",NA,7,5,7,0,13.9,"Dropout"
"single","second choice","Social Service",NA,"Secondary education",130,"Portuguese",133.2,"no","no",NA,"female","no",9,9,7,7,NA,"Graduate"
"single",NA,NA,"daytime",NA,NA,"Portuguese",NA,"no","no","yes","female","yes",6,5,6,4,12.4,"Dropout"
"single","second choice","Advertising and Marketing Management","daytime","Secondary education",120,"Portuguese",113,"yes","no","no","female","no",5,4,5,4,7.6,"Graduate"
NA,"second choice","Journalism and Communication","daytime","Secondary education",NA,"Portuguese",157.9,NA,"no","yes","female","yes",6,6,6,6,8.9,"Graduate"
"single","third choice","Nursing","daytime","Secondary education",NA,NA,112.1,"no","no","no","female","yes",7,5,8,7,11.1,"Enrolled"
"single","second choice","Nursing","daytime","Secondary education",NA,NA,174.7,"no","no","no","female","no",7,7,8,8,13.9,"Graduate"
"single","sixth choice","Nursing","daytime","Secondary education",129,"Portuguese",128.8,"yes","no","no","female","no",7,6,7,6,7.6,"Graduate"
"single","seventh chioce","Journalism and Communication","daytime","Secondary education",116,"Portuguese",110.1,"yes","no","no","female","yes",6,6,6,5,12.4,"Graduate"
"single","second choice","Management","daytime","Secondary education",99,"Portuguese",NA,"yes","no","yes","female","no",5,0,NA,0,8.9,"Enrolled"
"single","fourth choice","Social Service",NA,"Secondary education",135,"Portuguese",121,"yes","no","no","female","yes",6,6,6,NA,12.4,"Graduate"
"single","fourth choice","Nursing","daytime","Secondary education",141,"Portuguese",131.7,"yes","no","no","female","yes",7,7,8,8,15.5,"Graduate"
"single","sixth choice","Basic Education","daytime",NA,132,"Portuguese",119.1,"yes","no",NA,"female","yes",6,5,6,5,9.4,"Graduate"
"single","fifth choice",NA,"daytime","Secondary education",132,"Portuguese",124.7,"yes","no","no","female","no",5,0,5,0,7.6,"Dropout"
"single",NA,"Tourism","daytime","Secondary education",113,NA,117.2,"yes",NA,"no","female",NA,6,5,6,3,7.6,"Dropout"
"single","second choice","Management","daytime","Secondary education",134,"Portuguese",128.8,"no","no","no","female","no",5,5,5,NA,13.9,"Graduate"
"single","second choice","Nursing","daytime","Secondary education",136,"Portuguese",131.5,"no","no","no","female","yes",7,6,8,7,11.1,"Graduate"
"single","second choice","Animation and Multimedia Design","daytime","Secondary education",136,"Portuguese",121.7,"yes","no","no","female","no",0,0,NA,0,9.4,"Enrolled"
"single","second choice","Veterinary Nursing","daytime",NA,129,"Portuguese",123.4,"no","no","no","female","no",5,5,5,5,7.6,"Graduate"
"single",NA,"Basic Education","daytime","Secondary education",138,"Portuguese",124.7,"yes",NA,"no","female","no",6,3,6,5,9.4,"Enrolled"
"single","second choice","Basic Education","daytime","Secondary education",137,NA,132.8,"yes","no","no","female","no",6,NA,6,5,7.6,"Graduate"
"single","second choice","Basic Education","daytime","Secondary education",115,"Portuguese",108.7,"yes","no","no","female","no",NA,3,NA,3,9.4,"Dropout"
"single","second choice","Basic Education","daytime","Secondary education",129,"Portuguese",138.1,"no","no","no","female","no",6,6,6,4,NA,"Dropout"
"single","second choice","Management","daytime","Secondary education",131,"Portuguese",126.5,"no","no","no","female","yes",5,5,5,5,12.4,"Graduate"
"single","third choice","Social Service","daytime","Secondary education",133,"Portuguese",127.4,"yes",NA,NA,"female","yes",6,6,6,6,12.7,"Graduate"
"single","fourth choice","Social Service","daytime","Secondary education",125,"Portuguese",123.6,"yes",NA,"no","female","no",6,4,6,6,9.4,"Graduate"
"single","second choice","Social Service (evening attendance)","evening","Secondary education",120,"Portuguese",122,"no","no","no","female","yes",6,5,6,5,11.1,"Graduate"
"single","second choice","Advertising and Marketing Management",NA,"Secondary education",128,"Portuguese",118.2,"no","no","no","female","no",6,6,6,6,10.8,"Dropout"
"single","second choice","Nursing","daytime","Secondary education",127,"Portuguese",123.9,"yes","no","no",NA,"yes",7,7,8,7,15.5,"Graduate"
"single","third choice","Nursing","daytime","Secondary education",134,"Portuguese",125.8,"yes","no","no","female","no",7,7,8,8,15.5,"Graduate"
"single","sixth choice","Basic Education","daytime","Secondary education",132,"Portuguese",123.3,"yes","no",NA,"female","no",6,4,6,3,10.8,"Dropout"
"single","third choice","Advertising and Marketing Management","daytime","Secondary education",124,"Portuguese",124.4,"no","no","no","female",NA,5,5,5,5,7.6,"Graduate"
"single","second choice","Journalism and Communication","daytime","Secondary education",133.1,"Portuguese",126,"no","no","no","female","yes",6,6,6,6,15.5,"Graduate"
"widowed","second choice","Agronomy","daytime","Secondary education",NA,"Portuguese",170,"no","no","yes","female","no",1,0,6,0,8.9,"Enrolled"
"single","fourth choice","Social Service","daytime","Secondary education",125,"Portuguese",121.5,"no","no",NA,"female","no",6,5,6,4,13.9,"Graduate"
"single","second choice",NA,"daytime","Higher education - degree",130,"Portuguese",130,NA,"no","no",NA,NA,8,7,8,7,12.7,"Graduate"
"single","second choice","Social Service",NA,"Secondary education",125,"Portuguese",NA,"yes","no","no","female",NA,6,3,6,2,16.2,"Dropout"
"single",NA,"Veterinary Nursing","daytime","Secondary education",130,NA,130,"yes","no",NA,NA,"no",5,4,NA,4,12.7,"Enrolled"
"single","third choice","Oral Hygiene","daytime","Secondary education",133.1,"Portuguese",108,"no","no","no","female","no",7,7,8,8,15.5,"Graduate"
"single","second choice","Nursing","daytime","Secondary education",131,"Portuguese",NA,"yes","no","no","female","no",7,6,NA,6,7.6,"Graduate"
"single","second choice","Social Service (evening attendance)","evening","Secondary education",150,"Portuguese",148,"no","no",NA,"female","no",NA,3,6,5,9.4,"Graduate"
"single","third choice","Tourism","daytime",NA,125,NA,122.6,"yes","no","yes","female","no",6,4,6,6,11.1,"Dropout"
"single","second choice","Advertising and Marketing Management","daytime","Secondary education",131,NA,123,"yes","no",NA,"female","yes",5,3,NA,4,7.6,"Enrolled"
"single","second choice","Basic Education","daytime","Secondary education",130,"Portuguese",102.5,"no","no",NA,"female","no",6,5,6,5,7.6,"Graduate"
NA,"third choice","Nursing","daytime","Secondary education",123,"Portuguese",113.3,"yes","no","no","female","no",7,4,7,4,7.6,"Dropout"
"single","sixth choice","Basic Education","daytime","Secondary education",NA,"Portuguese",133,"yes","no","no","female","no",6,5,6,5,9.4,"Dropout"
"single","second choice","Nursing","daytime","Higher education - degree",NA,"Portuguese",140,"no","no","no","female","no",NA,6,8,6,16.2,"Dropout"
"single","second choice","Basic Education","daytime","Secondary education",140,NA,128.3,NA,"no",NA,"female","no",21,21,19,19,12.4,"Graduate"
"single","second choice","Management (evening attendance)","evening","Technological specialization course",NA,NA,140,NA,"no","no","female","yes",6,6,6,6,9.4,"Enrolled"
"single","second choice","Journalism and Communication","daytime","Basic education 3rd cycle (9th/10th/11th year) or equiv.",133.1,"Portuguese",104,"no","no","yes",NA,"no",6,5,6,0,NA,"Dropout"
NA,"fourth choice","Communication Design","daytime","Secondary education",131,"Portuguese",122.3,"yes","no","no",NA,"no",6,6,6,NA,15.5,"Dropout"
NA,"third choice","Tourism","daytime","Secondary education",143,"Portuguese",NA,NA,"no",NA,"female","no",NA,NA,6,0,NA,"Dropout"
"single","third choice","Management","daytime",NA,132,"Portuguese",119.1,"yes","no","yes",NA,NA,5,3,5,3,10.8,"Dropout"
"single","second choice","Social Service","daytime","Secondary education",143,"Portuguese",126.6,NA,"no",NA,"female","no",10,8,6,NA,NA,"Enrolled"
"single","fourth choice","Nursing","daytime","Secondary education",NA,NA,129,"yes","no","no",NA,NA,7,6,7,6,7.6,"Graduate"
"single","second choice","Veterinary Nursing",NA,"Secondary education",133.1,"Portuguese",162.3,"yes","no","no","female","no",6,2,6,0,8.9,"Dropout"
"single",NA,"Communication Design","daytime",NA,148,"Portuguese",163.4,NA,"no","no","female",NA,6,NA,6,6,16.2,"Graduate"
"single","second choice","Tourism","daytime",NA,125,"Portuguese",121.5,NA,"no","no","female","yes",6,6,6,NA,NA,"Graduate"
"single","second choice","Social Service (evening attendance)","evening","Secondary education",120,"Portuguese",122.8,"no","no","no","female","no",6,2,5,NA,NA,"Enrolled"
"single","second choice","Management","daytime","Secondary education",140,"Portuguese",118,NA,"no","no","female","no",5,0,5,NA,7.6,"Dropout"
NA,"second choice","Basic Education","daytime","Secondary education",139,"Portuguese",134,"no","no",NA,"female","no",6,0,6,0,NA,"Dropout"
"single","fifth choice","Nursing","daytime","Secondary education",142,"Portuguese",129.8,"yes","no","no","female","no",NA,NA,8,7,12.7,"Graduate"
"single",NA,"Management (evening attendance)","evening","Higher education - degree (1st cycle)",130,"Portuguese",152,"yes","no","no","female",NA,5,0,5,0,8.9,"Dropout"
"single",NA,"Nursing","daytime","Secondary education",126,"Portuguese",122.8,"yes","no","no",NA,"no",8,8,8,8,9.4,"Graduate"
