"","Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Previous.qualification..grade.","Nacionality","Admission.grade","Displaced","Educational.special.needs","Debtor","Gender","Scholarship.holder","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..approved.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..approved.","Unemployment.rate","Target"
"16",1,1,9773,1,1,127,1,120.7,1,0,0,0,0,6,5,6,0,15.5,"Dropout"
"17",1,1,9238,1,1,137,1,137.4,1,NA,0,0,0,6,1,6,2,10.8,"Enrolled"
"18",1,2,9500,1,1,135,1,127.3,1,0,0,0,0,NA,7,8,8,15.5,"Graduate"
"19",1,1,9130,1,1,137,1,136.3,1,0,0,0,0,5,4,5,4,10.8,"Graduate"
"20",1,1,NA,1,1,140,1,124.6,1,0,0,0,0,7,6,7,6,16.2,"Enrolled"
"21",1,3,171,1,1,NA,1,120.3,0,0,0,0,NA,0,0,0,0,11.1,"Graduate"
"22",1,4,9556,1,1,127,NA,121.8,1,0,0,0,0,7,7,8,8,12.7,"Enrolled"
"23",1,4,9500,1,1,142,NA,125.5,1,0,0,0,0,8,7,8,7,12.7,"Graduate"
"24",1,4,9670,1,1,125,1,114.9,1,0,0,0,1,6,NA,6,6,11.1,"Graduate"
"25",1,NA,9500,1,1,126,1,NA,0,0,0,0,0,7,NA,8,NA,11.1,"Graduate"
"26",1,NA,9238,1,NA,151,1,157,1,NA,1,0,1,6,5,6,4,7.6,"Enrolled"
"27",1,2,9238,1,1,115,1,116.4,1,0,0,0,NA,NA,6,6,6,16.2,"Graduate"
"28",1,1,9085,NA,1,138,1,131,1,0,0,0,0,5,5,5,4,9.4,"Enrolled"
"29",1,1,9147,1,1,135,1,122.1,1,0,0,NA,0,5,5,5,5,16.2,"Graduate"
"30",NA,2,9500,1,1,127,1,118.8,1,0,0,1,0,7,6,NA,6,16.2,"Enrolled"
"31",NA,1,9003,1,39,150,1,150,NA,0,0,1,0,6,5,6,5,16.2,"Enrolled"
"32",NA,1,9070,1,1,125,1,130,1,0,0,1,0,6,6,NA,NA,8.9,"Graduate"
"33",1,NA,9147,1,1,143,1,138.8,NA,0,0,NA,0,5,3,5,2,8.9,"Enrolled"
"34",1,1,8014,0,1,138,1,134.5,1,0,0,NA,0,6,6,6,6,12.4,"Graduate"
"35",1,1,9991,0,1,130,NA,131.4,0,0,0,NA,0,5,5,5,5,13.9,"Graduate"
"36",1,1,33,1,1,130,1,102.5,0,0,1,1,0,7,0,NA,1,8.9,"Dropout"
"37",1,1,NA,1,10,133.1,1,128.8,1,0,0,1,0,5,NA,5,0,7.6,"Dropout"
"38",NA,1,9147,1,1,NA,1,122.9,0,0,NA,0,0,5,1,5,2,16.2,"Dropout"
"39",4,1,9991,NA,NA,120,1,113.9,1,0,0,0,0,NA,5,5,5,NA,"Graduate"
"40",1,1,9130,NA,39,NA,6,120,0,0,1,0,0,6,3,6,3,12.4,"Dropout"
"41",NA,5,NA,1,1,126,1,121.1,0,0,1,0,0,6,4,5,0,12.7,"Dropout"
"42",1,2,9147,1,1,133,1,120.4,NA,NA,0,0,NA,5,5,5,5,8.9,"Graduate"
"43",NA,6,9500,1,1,103,1,100.6,1,1,0,NA,0,7,NA,8,NA,11.1,"Graduate"
"44",1,1,9773,1,1,120,1,NA,0,0,0,NA,0,6,4,6,5,12.4,"Dropout"
"45",1,1,9991,0,1,133.1,1,109.7,0,0,0,0,0,5,0,5,0,16.2,"Dropout"
"46",1,1,9991,0,1,154,1,134.1,0,0,0,0,0,NA,2,5,3,7.6,"Enrolled"
"47",NA,2,9238,1,1,130,1,127.6,1,0,0,0,NA,NA,6,6,5,11.1,"Graduate"
"48",1,NA,9500,1,1,132,1,132.4,1,0,NA,0,1,7,6,8,NA,11.1,"Graduate"
"49",1,NA,8014,0,39,130,NA,133.4,0,0,0,0,NA,6,6,6,6,12.4,"Graduate"
"50",1,1,9238,1,NA,139,1,126.1,0,0,0,0,NA,6,5,6,6,NA,"Graduate"
"51",1,1,9254,1,1,130,1,NA,0,0,0,0,1,6,6,6,6,12.4,"Graduate"
"52",1,NA,9500,1,1,139,1,121.3,1,0,0,0,1,NA,NA,8,6,9.4,"Enrolled"
"53",1,NA,9773,1,NA,127,1,121.8,1,0,0,0,NA,6,4,6,NA,NA,"Enrolled"
"54",1,3,9130,1,1,167,1,NA,0,0,0,NA,0,5,5,5,5,7.6,"Graduate"
"55",1,1,9991,0,NA,130,1,120,0,0,0,0,0,5,5,5,5,9.4,"Dropout"
"56",1,1,9500,1,1,130,1,129.1,1,0,0,0,0,7,7,8,8,15.5,"Graduate"
"57",NA,1,9254,1,3,130,1,130,0,0,0,0,0,6,0,6,NA,12.4,"Dropout"
"58",1,1,9130,1,40,129,1,155.3,1,0,NA,0,0,6,5,11,NA,12.4,"Dropout"
"59",1,NA,9500,1,1,NA,1,139.8,1,0,0,0,0,NA,8,8,8,9.4,"Graduate"
"60",1,3,171,NA,1,125,1,NA,1,0,0,0,0,NA,0,0,0,7.6,"Enrolled"
"61",1,2,9500,1,1,125,1,114.9,0,0,NA,0,0,7,6,8,7,16.2,"Graduate"
"62",1,1,9238,1,39,130,1,131.9,0,0,0,NA,1,6,6,6,6,13.9,"Graduate"
"63",1,3,171,1,1,133,NA,126,1,0,0,1,1,0,0,NA,0,10.8,"Enrolled"
"64",1,1,9070,1,1,127,1,130.2,1,NA,0,1,0,6,5,6,1,10.8,"Enrolled"
"65",1,NA,9070,1,1,116,NA,120.9,0,0,0,1,0,6,0,6,0,NA,"Enrolled"
"66",4,1,9500,1,19,133.1,NA,126,1,0,0,1,0,7,5,8,NA,13.9,"Dropout"
"67",1,3,171,1,1,139,1,128.2,1,0,0,1,1,0,0,0,0,10.8,"Graduate"
"68",1,1,9003,1,39,130,1,130,1,0,0,1,0,6,NA,6,6,NA,"Graduate"
"69",1,3,9147,1,1,125,1,120.1,0,0,1,1,0,5,5,5,4,16.2,"Dropout"
"70",1,1,9254,1,1,160,1,100,0,0,0,1,0,6,6,NA,5,12.7,"Enrolled"
"71",1,1,9147,1,1,148,1,134,0,0,0,1,0,5,NA,5,0,7.6,"Enrolled"
"72",1,1,9500,NA,1,150,1,130.8,0,0,0,1,0,7,7,8,8,13.9,"Graduate"
"73",1,1,171,NA,1,NA,1,135.8,1,0,0,1,0,0,0,0,0,NA,"Dropout"
"74",1,4,9254,1,NA,118,1,111.7,1,0,0,1,0,6,3,6,1,12.4,"Dropout"
"75",1,2,9773,1,1,142,1,NA,1,0,0,1,0,6,6,6,NA,10.8,"Graduate"
"76",NA,3,NA,1,1,120,1,115.5,1,0,1,1,0,5,3,5,3,10.8,"Dropout"
"77",1,4,9254,1,1,106,1,106,1,0,0,1,NA,6,4,6,1,9.4,"Dropout"
"78",1,4,9773,1,1,121,1,120.3,1,0,1,1,1,6,6,NA,6,8.9,"Graduate"
"79",1,4,9500,1,1,150,1,130.8,0,NA,0,1,1,7,7,8,NA,16.2,"Graduate"
"80",2,1,8014,0,1,120,1,117,0,0,NA,NA,0,6,6,6,6,10.8,"Graduate"
"81",1,6,9853,1,1,114,1,NA,1,0,0,NA,0,6,5,6,5,10.8,"Dropout"
"82",1,1,9991,0,2,140,1,155.7,1,0,0,1,0,1,NA,5,0,10.8,"Dropout"
"83",1,1,NA,1,4,160,1,180.4,0,0,1,1,0,12,6,NA,NA,12.4,"Dropout"
"84",1,1,9254,1,1,120,1,NA,NA,0,0,1,0,NA,5,5,3,NA,"Enrolled"
"85",2,1,8014,0,1,130,1,110,1,0,0,0,0,6,6,6,5,9.4,"Graduate"
"86",1,1,9500,1,1,160,1,161,1,0,0,NA,1,8,7,NA,NA,10.8,"Graduate"
"87",1,1,NA,1,1,120,1,100,0,0,0,0,1,5,4,5,5,9.4,"Graduate"
"88",1,1,9070,1,1,124,1,117.6,1,NA,0,1,0,6,6,NA,5,7.6,"Graduate"
"89",1,6,9147,NA,1,143,1,128.7,1,0,0,1,0,NA,NA,5,5,11.1,"Enrolled"
"90",1,2,9119,1,1,115,1,112.2,1,0,1,1,0,5,NA,5,0,15.5,"Enrolled"
"91",1,1,9500,1,NA,133.1,1,100.8,0,NA,NA,1,0,7,0,7,0,13.9,"Dropout"
"92",1,NA,9773,1,1,133.1,41,105,1,0,0,0,0,6,6,6,6,8.9,"Graduate"
"93",1,1,9130,1,1,133.1,41,100,0,0,0,NA,0,NA,2,6,0,NA,"Dropout"
"94",2,NA,9853,1,10,133.1,1,115.5,0,0,NA,0,0,6,3,6,NA,7.6,"Dropout"
"95",2,1,8014,0,1,133.1,1,114,0,0,0,0,0,8,8,6,6,12.7,"Graduate"
"96",1,1,9119,1,1,130,26,137,1,0,0,1,0,NA,5,5,3,13.9,"Enrolled"
"97",1,5,9773,1,1,NA,1,124.9,NA,0,0,0,0,6,6,6,6,NA,"Graduate"
"98",1,5,9500,1,NA,132,1,120.3,1,0,NA,0,NA,7,7,8,8,12.4,"Graduate"
"99",1,1,9085,1,1,135,1,134.3,1,0,0,0,0,5,5,NA,5,NA,"Enrolled"
"100",NA,4,9500,1,NA,115,1,111.5,1,0,1,0,0,7,4,7,0,13.9,"Dropout"
"101",1,1,9085,1,42,130,1,128.8,0,0,0,0,0,10,8,9,5,8.9,"Dropout"
"102",1,4,171,NA,1,133.1,1,110,1,0,NA,0,0,0,0,0,0,16.2,"Graduate"
"103",2,1,NA,0,1,130,1,113.5,1,0,0,0,0,6,0,6,0,9.4,"Dropout"
"104",4,1,9003,1,12,133.1,1,NA,0,NA,0,0,NA,18,18,13,13,15.5,"Graduate"
"105",1,1,9853,1,1,123,1,117.4,1,NA,0,0,0,6,NA,6,0,11.1,"Dropout"
"106",1,1,9070,1,1,130,1,122.2,0,0,1,0,0,10,10,11,11,11.1,"Graduate"
"107",1,2,9238,1,1,122,1,118.2,1,0,0,0,0,6,0,6,0,16.2,"Dropout"
"108",1,1,9085,1,1,113,1,106.7,1,0,NA,0,0,6,NA,NA,4,15.5,"Dropout"
"109",1,5,9500,1,1,111,1,108.2,1,0,NA,0,0,7,6,7,5,12.4,"Dropout"
"110",1,2,9853,1,1,133.1,1,107,1,0,0,0,0,7,6,NA,3,NA,"Enrolled"
"111",1,1,9238,1,1,142,1,136.1,1,0,0,NA,0,6,6,6,6,13.9,"Graduate"
"112",1,2,9147,1,NA,NA,1,115.3,1,0,0,0,1,5,3,5,3,8.9,"Enrolled"
"113",1,1,9085,1,1,131,1,139.8,1,0,0,0,0,5,5,5,5,10.8,"Graduate"
"114",1,NA,9773,1,1,158,1,157,NA,0,0,0,0,6,6,6,6,10.8,"Graduate"
"115",1,2,9500,1,1,NA,1,131,1,0,0,0,0,7,6,7,6,7.6,"Dropout"
"116",1,1,9500,1,1,130,1,NA,0,0,0,0,0,7,6,7,7,13.9,"Enrolled"
"117",1,1,9238,1,1,154,1,140.4,1,0,0,0,1,6,2,6,4,7.6,"Enrolled"
"118",1,1,9147,1,1,120,1,113.4,0,0,0,0,0,5,3,5,3,12.4,"Enrolled"
"119",NA,2,9085,1,1,140,1,137,0,0,0,0,0,5,5,5,5,9.4,"Graduate"
"120",1,1,9147,1,NA,127,1,121.8,0,NA,NA,0,0,5,5,5,5,11.1,"Graduate"
"121",1,1,9254,1,NA,133.1,1,131,1,0,0,0,0,NA,3,6,2,9.4,"Dropout"
"122",1,2,9147,1,1,NA,1,118.6,1,0,0,0,0,5,5,5,4,16.2,"Graduate"
"123",1,NA,171,1,1,137,1,122.3,0,0,0,0,0,NA,0,0,0,10.8,"Dropout"
"124",1,1,9670,1,1,131,NA,127.9,0,0,0,0,1,5,5,5,5,9.4,"Graduate"
"125",1,1,9085,1,1,130,1,NA,1,0,0,0,0,6,6,6,NA,15.5,"Graduate"
"126",1,6,9556,1,1,122,1,117.1,NA,0,NA,0,0,7,5,7,0,13.9,"Dropout"
"127",NA,1,NA,1,39,160,1,160,1,0,0,0,0,6,6,6,5,12.4,"Graduate"
"128",1,1,NA,1,1,146,1,145.3,1,NA,0,0,1,6,5,6,5,9.4,"Enrolled"
"129",1,3,NA,1,1,131,1,122.6,1,NA,0,0,0,NA,6,6,6,12.4,"Graduate"
"130",1,6,NA,1,1,132,1,128,1,0,0,0,0,7,7,8,8,12.4,"Graduate"
"131",1,3,9500,NA,1,138,1,124.9,1,0,0,0,1,7,7,8,7,13.9,"Dropout"
"132",1,2,9070,1,1,130,1,123.7,1,0,0,0,0,6,NA,NA,6,7.6,"Graduate"
"133",1,4,9147,NA,1,NA,1,120.1,1,0,0,0,0,5,5,5,5,8.9,"Graduate"
"134",NA,6,9500,1,1,148,1,131.7,NA,0,0,0,NA,7,5,7,0,13.9,"Dropout"
"135",1,1,NA,1,1,130,NA,133.2,0,0,0,0,0,9,9,7,7,7.6,"Graduate"
"136",1,1,NA,1,NA,NA,1,109.3,0,0,1,NA,1,6,5,6,4,NA,"Dropout"
"137",1,1,9670,1,1,120,1,113,1,0,0,0,0,5,4,5,4,7.6,"Graduate"
"138",1,1,9773,1,1,153,1,157.9,0,0,1,0,1,6,6,6,6,8.9,"Graduate"
"139",1,2,NA,1,1,NA,1,112.1,0,0,0,0,1,7,5,8,7,11.1,"Enrolled"
"140",1,1,9500,1,1,178,1,174.7,0,0,0,0,0,NA,7,NA,8,13.9,"Graduate"
"141",1,5,9500,1,1,129,1,128.8,NA,0,0,0,0,7,6,7,6,7.6,"Graduate"
"142",1,6,9773,1,1,NA,1,110.1,1,0,0,0,1,6,6,6,NA,NA,"Graduate"
"143",1,1,9147,1,1,99,NA,99.7,1,0,1,0,0,5,0,5,0,8.9,"Enrolled"
"144",1,3,9238,1,1,135,1,NA,1,0,0,0,NA,6,NA,6,6,12.4,"Graduate"
"145",1,NA,9500,1,1,141,1,131.7,NA,0,0,0,1,7,7,8,8,NA,"Graduate"
"146",1,5,9853,1,1,132,1,119.1,1,NA,0,0,1,6,5,6,5,9.4,"Graduate"
"147",1,4,NA,1,1,132,NA,124.7,1,0,0,0,0,5,0,NA,0,7.6,"Dropout"
"148",1,1,9254,NA,1,113,1,NA,1,0,0,0,0,6,NA,6,3,7.6,"Dropout"
"149",1,1,NA,1,1,134,1,NA,0,0,0,0,0,5,5,5,5,13.9,"Graduate"
"150",1,NA,9500,1,1,136,1,NA,0,0,0,NA,1,7,6,8,7,11.1,"Graduate"
"151",1,1,171,1,1,136,NA,121.7,1,0,0,0,0,0,NA,0,NA,NA,"Enrolled"
"152",1,1,9085,1,1,129,1,123.4,NA,NA,0,0,0,5,5,5,5,7.6,"Graduate"
"153",NA,1,NA,NA,NA,138,1,124.7,1,0,0,0,NA,6,3,6,5,9.4,"Enrolled"
"154",1,1,9853,1,1,137,1,132.8,1,0,NA,0,0,6,6,6,5,7.6,"Graduate"
"155",1,1,9853,NA,1,115,1,108.7,1,0,0,0,0,6,3,6,NA,NA,"Dropout"
"156",1,1,9853,1,1,129,1,138.1,0,0,0,0,0,6,6,6,4,7.6,"Dropout"
"157",1,NA,9147,1,1,131,1,126.5,0,NA,0,0,NA,5,5,5,5,12.4,"Graduate"
"158",1,2,9238,1,1,133,1,127.4,1,0,0,0,1,6,6,6,6,12.7,"Graduate"
"159",1,3,9238,1,1,125,1,NA,NA,0,0,0,0,6,NA,6,NA,9.4,"Graduate"
"160",1,1,NA,0,1,120,NA,122,NA,0,0,0,1,6,5,6,5,11.1,"Graduate"
"161",1,1,9670,1,1,128,1,118.2,0,0,0,0,0,6,6,6,NA,10.8,"Dropout"
"162",1,1,9500,NA,1,127,1,123.9,1,0,0,NA,1,7,7,8,7,15.5,"Graduate"
"163",NA,2,9500,1,1,134,NA,125.8,1,0,0,0,0,7,7,8,8,15.5,"Graduate"
"164",1,NA,9853,1,1,132,1,NA,NA,0,0,0,NA,6,4,6,3,10.8,"Dropout"
"165",1,2,NA,1,1,124,NA,NA,0,0,0,0,0,5,5,5,5,7.6,"Graduate"
"166",1,1,9773,1,1,133.1,1,126,0,0,0,0,1,NA,6,6,6,NA,"Graduate"
"167",3,NA,NA,1,NA,170,NA,170,0,0,1,0,0,1,0,6,0,8.9,"Enrolled"
"168",1,3,9238,1,1,125,1,121.5,0,0,0,0,0,6,5,6,4,NA,"Graduate"
"169",1,1,9500,1,3,130,1,130,0,0,0,NA,0,8,7,8,7,12.7,"Graduate"
"170",1,1,NA,1,1,125,1,117,1,0,0,0,0,6,NA,6,NA,16.2,"Dropout"
"171",1,1,9085,1,1,130,NA,130,1,NA,0,0,0,5,4,5,4,12.7,"Enrolled"
"172",1,2,NA,1,NA,133.1,1,108,0,0,0,0,0,NA,7,8,8,15.5,"Graduate"
"173",1,1,9500,1,1,131,NA,132.3,1,0,NA,0,0,7,6,7,6,7.6,"Graduate"
"174",1,1,8014,NA,1,150,1,148,0,0,0,0,0,6,3,6,5,9.4,"Graduate"
"175",NA,2,9254,1,1,125,1,122.6,1,0,1,0,0,6,4,6,6,11.1,"Dropout"
"176",1,1,9670,NA,1,131,1,123,1,0,0,0,1,5,3,5,4,7.6,"Enrolled"
"177",1,1,9853,1,NA,130,1,102.5,0,0,0,0,0,6,5,6,5,7.6,"Graduate"
"178",1,2,9500,1,NA,123,1,NA,1,0,NA,0,0,7,4,7,4,7.6,"Dropout"
"179",1,5,9853,1,1,141,1,133,1,0,0,NA,0,6,5,6,5,9.4,"Dropout"
"180",1,1,9500,NA,3,140,1,140,0,0,NA,0,NA,7,6,8,NA,16.2,"Dropout"
"181",1,1,9853,1,1,140,1,128.3,1,0,0,0,0,21,NA,19,19,12.4,"Graduate"
"182",1,1,9991,0,39,140,1,140,0,0,0,0,1,6,6,6,6,9.4,"Enrolled"
"183",1,NA,9773,1,19,133.1,1,104,0,0,1,0,0,NA,5,6,0,11.1,"Dropout"
"184",NA,3,9070,1,1,131,1,122.3,1,0,0,0,NA,6,NA,6,0,15.5,"Dropout"
"185",1,2,9254,1,1,143,1,135,0,0,0,0,0,6,0,6,0,11.1,"Dropout"
"186",1,2,9147,1,1,132,1,119.1,1,0,1,0,0,NA,3,5,3,10.8,"Dropout"
"187",1,NA,9238,NA,1,143,1,126.6,0,0,NA,0,0,10,8,6,4,9.4,"Enrolled"
"188",NA,3,9500,1,1,141,1,129,1,0,0,0,1,7,6,7,6,7.6,"Graduate"
"189",1,1,9085,1,1,133.1,1,162.3,1,0,0,0,0,NA,2,6,0,8.9,"Dropout"
"190",1,4,9070,1,1,148,1,163.4,1,0,0,0,NA,6,NA,6,6,16.2,"Graduate"
"191",NA,NA,9254,1,1,125,1,121.5,0,0,0,0,1,6,6,6,6,13.9,"Graduate"
"192",1,1,8014,0,NA,NA,1,122.8,0,0,0,NA,0,6,2,5,1,9.4,"Enrolled"
"193",1,NA,NA,1,1,140,1,118,NA,0,0,0,0,5,0,5,0,NA,"Dropout"
"194",1,1,NA,1,NA,139,1,134,0,0,0,0,0,6,0,6,0,12.4,"Dropout"
"195",1,4,9500,1,1,142,1,129.8,1,0,0,0,0,8,7,8,7,12.7,"Graduate"
"196",1,NA,9991,0,40,130,1,152,1,0,0,0,0,5,0,5,0,8.9,"Dropout"
"197",1,6,9500,1,1,126,1,122.8,NA,0,0,0,0,NA,NA,8,8,9.4,"Graduate"
"198",1,NA,NA,1,3,NA,1,150,0,0,0,0,0,5,0,5,0,13.9,"Dropout"
"199",1,1,9853,1,1,130,1,131.8,0,0,NA,0,0,7,7,7,7,11.1,"Graduate"
"200",1,1,9500,1,1,120,NA,105.9,0,0,0,0,0,3,NA,3,3,NA,"Enrolled"
"201",1,1,9085,1,1,138,NA,132.1,1,0,0,NA,NA,5,4,5,4,10.8,"Graduate"
"202",1,4,9238,1,1,127,1,127.4,1,0,0,NA,NA,6,6,6,6,7.6,"Graduate"
"203",1,NA,9500,1,1,140,1,129.5,1,0,0,0,0,8,7,8,7,10.8,"Graduate"
"204",1,1,9238,1,39,130,1,126.7,0,0,1,0,0,6,6,6,6,13.9,"Graduate"
"205",1,2,9238,1,1,128,1,116.5,NA,0,NA,NA,1,6,NA,6,4,16.2,"Graduate"
"206",NA,1,9238,1,1,132,1,119.1,1,0,NA,0,0,6,4,6,4,7.6,"Graduate"
"207",1,NA,9500,1,1,149,1,126.5,1,0,NA,0,0,8,7,8,NA,12.7,"Graduate"
"208",1,4,9773,1,1,155,1,149.8,NA,0,0,0,1,6,6,6,6,16.2,"Graduate"
"209",1,1,9085,1,1,120,NA,115.1,1,0,0,0,0,6,6,6,5,13.9,"Graduate"
"210",1,1,9254,NA,19,133.1,1,124.5,0,0,0,0,1,NA,6,6,5,NA,"Dropout"
"211",1,2,9500,1,1,NA,1,128.3,1,0,0,0,1,8,7,8,NA,NA,"Graduate"
"212",1,1,9500,1,1,149,1,136,NA,0,0,0,1,7,6,7,6,7.6,"Graduate"
"213",1,1,9130,1,1,140,NA,NA,1,0,NA,0,1,6,6,6,6,13.9,"Graduate"
"214",1,1,9991,0,1,133.1,1,126.3,0,0,0,0,1,5,0,5,0,16.2,"Dropout"
"215",1,1,9773,1,1,122,1,126.9,0,0,0,0,0,6,6,6,6,7.6,"Graduate"
"216",1,1,9556,1,40,130,1,145,0,0,0,0,0,7,6,8,8,15.5,"Enrolled"
"217",1,1,9147,1,1,121,1,115.8,1,0,0,0,1,5,5,5,5,12.4,"Graduate"
"218",1,1,8014,0,1,120,1,100,1,0,0,NA,NA,6,1,6,0,9.4,"Dropout"
"219",1,1,8014,0,1,133.1,NA,102.5,0,0,0,0,1,6,1,6,0,8.9,"Dropout"
"220",1,1,9085,1,1,NA,1,131.5,0,NA,0,0,0,5,0,5,2,7.6,"Dropout"
"221",1,1,9147,NA,1,NA,1,NA,NA,0,0,0,1,5,4,5,3,9.4,"Graduate"
"222",2,4,9853,1,1,NA,1,122.5,0,1,0,0,NA,6,6,6,6,10.8,"Graduate"
"223",1,3,9254,1,1,115,1,117.5,1,NA,0,0,0,NA,4,6,2,9.4,"Dropout"
"224",1,1,9500,1,1,NA,1,150,0,NA,0,0,1,7,5,8,7,11.1,"Graduate"
"225",NA,1,NA,1,1,135,1,127.5,1,0,0,0,1,7,6,8,7,16.2,"Graduate"
"226",2,1,9991,0,43,140,1,140,0,0,0,NA,0,6,6,NA,5,11.1,"Graduate"
"227",2,1,9147,1,3,130,1,130,0,0,0,0,0,5,NA,5,5,12.4,"Graduate"
"228",1,1,9238,1,1,135,1,133.3,0,0,0,0,1,6,6,6,6,11.1,"Graduate"
"229",1,2,9670,1,1,140,NA,97,1,0,NA,0,0,5,0,5,0,NA,"Dropout"
"230",1,1,9500,NA,1,120,1,112,1,0,NA,0,1,8,7,8,7,12.7,"Graduate"
"231",1,NA,9254,1,1,140,1,NA,1,0,0,0,0,6,6,6,3,12.7,"Graduate"
"232",1,NA,9254,1,3,133.1,1,130.5,0,0,0,0,0,6,0,NA,0,15.5,"Dropout"
"233",1,2,9670,1,1,135,1,133.3,0,0,0,0,0,5,5,5,5,9.4,"Graduate"
"234",1,1,9254,1,1,123,1,132.1,0,0,0,0,1,NA,NA,6,5,NA,"Graduate"
"235",1,NA,9147,1,1,133.1,1,100,0,0,NA,0,0,5,3,5,1,16.2,"Dropout"
"236",1,1,9238,1,1,154,NA,140.4,0,0,0,0,1,6,5,NA,6,10.8,"Graduate"
"237",1,1,9853,1,1,148,1,141.7,0,0,0,0,1,6,5,6,NA,9.4,"Graduate"
"238",1,2,9238,1,1,133,1,119.7,0,1,0,0,1,6,6,6,NA,15.5,"Graduate"
"239",1,1,9130,1,1,126,1,122.5,1,0,0,0,0,NA,4,5,4,NA,"Dropout"
"240",1,NA,9085,1,19,133.1,1,140,0,0,1,0,0,6,3,6,3,16.2,"Dropout"
"241",1,3,9500,1,1,125,1,119.4,1,0,0,0,0,7,6,7,7,NA,"Enrolled"
"242",1,1,171,1,1,145,1,155,1,0,0,0,NA,17,11,13,9,12.4,"Enrolled"
"243",1,NA,9147,1,1,NA,1,119.1,NA,0,0,0,1,5,5,5,5,12.4,"Graduate"
"244",1,1,9147,1,NA,120,1,122.7,0,0,NA,0,0,5,0,5,0,10.8,"Dropout"
"245",1,1,9147,1,NA,127,1,117.9,0,0,0,NA,1,10,9,10,10,8.9,"Graduate"
"246",1,1,9500,1,3,130,1,130,0,0,0,0,0,8,8,8,8,9.4,"Graduate"
"247",1,3,9500,1,1,129,1,120,1,0,0,0,1,8,7,8,7,NA,"Graduate"
"248",1,NA,9003,1,39,130,1,130,0,0,1,0,0,6,3,6,3,13.9,"Dropout"
"249",1,3,NA,1,NA,121,1,116.8,1,0,0,0,0,6,6,6,4,NA,"Graduate"
"250",NA,1,9670,NA,1,136,NA,123.4,1,0,0,0,NA,6,6,6,5,11.1,"Graduate"
"251",1,3,9070,1,1,125,1,125.4,1,0,0,0,0,6,5,6,5,9.4,"Enrolled"
"252",1,NA,9773,1,1,131,1,127.2,1,0,0,0,1,6,6,6,6,8.9,"Dropout"
"253",1,1,9085,1,1,122,1,103.4,0,0,0,0,0,5,5,5,5,7.6,"Graduate"
"254",1,1,9773,1,1,127,1,123.2,1,0,0,NA,0,NA,1,6,0,9.4,"Enrolled"
"255",1,1,NA,1,1,136,1,124.1,0,0,0,0,0,5,5,5,5,8.9,"Graduate"
"256",2,1,9556,1,19,133.1,1,99.5,1,0,1,0,1,7,1,7,0,8.9,"Dropout"
"257",NA,1,9991,0,40,127,1,124.9,0,0,0,NA,0,5,5,5,5,16.2,"Graduate"
"258",1,NA,9070,1,1,116,NA,110.8,0,0,0,0,0,6,NA,6,6,7.6,"Enrolled"
"259",1,1,9238,1,NA,NA,1,118.9,1,0,0,0,1,6,5,6,5,12.4,"Graduate"
"260",NA,1,9238,1,1,124,1,118.8,NA,NA,NA,0,0,10,6,7,2,16.2,"Dropout"
"261",1,1,9254,1,1,131,1,137,0,0,0,0,NA,6,6,6,5,15.5,"Graduate"
