"Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Previous.qualification..grade.","Nacionality","Admission.grade","Displaced","Educational.special.needs","Debtor","Gender","Scholarship.holder","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..approved.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..approved.","Unemployment.rate","Target"
NA,1,9773,1,1,NA,1,157.9,NA,0,1,0,1,6,6,6,6,8.9,"Graduate"
1,2,9500,1,1,NA,NA,112.1,0,0,0,0,1,7,5,8,7,11.1,"Enrolled"
1,1,9500,1,1,NA,NA,174.7,0,0,0,0,0,7,7,8,8,13.9,"Graduate"
1,5,9500,1,1,129,1,128.8,1,0,0,0,0,7,6,7,6,7.6,"Graduate"
1,6,9773,1,1,116,1,110.1,1,0,0,0,1,6,6,6,5,12.4,"Graduate"
1,1,9147,1,1,99,1,NA,1,0,1,0,0,5,0,NA,0,8.9,"Enrolled"
1,3,9238,NA,1,135,1,121,1,0,0,0,1,6,6,6,NA,12.4,"Graduate"
1,3,9500,1,1,141,1,131.7,1,0,0,0,1,7,7,8,8,15.5,"Graduate"
1,5,9853,1,NA,132,1,119.1,1,0,NA,0,1,6,5,6,5,9.4,"Graduate"
1,4,NA,1,1,132,1,124.7,1,0,0,0,0,5,0,5,0,7.6,"Dropout"
1,NA,9254,1,1,113,NA,117.2,1,NA,0,0,NA,6,5,6,3,7.6,"Dropout"
1,1,9147,1,1,134,1,128.8,0,0,0,0,0,5,5,5,NA,13.9,"Graduate"
1,1,9500,1,1,136,1,131.5,0,0,0,0,1,7,6,8,7,11.1,"Graduate"
1,1,171,1,1,136,1,121.7,1,0,0,0,0,0,0,NA,0,9.4,"Enrolled"
1,1,9085,1,NA,129,1,123.4,0,0,0,0,0,5,5,5,5,7.6,"Graduate"
1,NA,9853,1,1,138,1,124.7,1,NA,0,0,0,6,3,6,5,9.4,"Enrolled"
1,1,9853,1,1,137,NA,132.8,1,0,0,0,0,6,NA,6,5,7.6,"Graduate"
1,1,9853,1,1,115,1,108.7,1,0,0,0,0,NA,3,NA,3,9.4,"Dropout"
1,1,9853,1,1,129,1,138.1,0,0,0,0,0,6,6,6,4,NA,"Dropout"
1,1,9147,1,1,131,1,126.5,0,0,0,0,1,5,5,5,5,12.4,"Graduate"
1,2,9238,1,1,133,1,127.4,1,NA,NA,0,1,6,6,6,6,12.7,"Graduate"
1,3,9238,1,1,125,1,123.6,1,NA,0,0,0,6,4,6,6,9.4,"Graduate"
1,1,8014,0,1,120,1,122,0,0,0,0,1,6,5,6,5,11.1,"Graduate"
1,1,9670,NA,1,128,1,118.2,0,0,0,0,0,6,6,6,6,10.8,"Dropout"
1,1,9500,1,1,127,1,123.9,1,0,0,NA,1,7,7,8,7,15.5,"Graduate"
1,2,9500,1,1,134,1,125.8,1,0,0,0,0,7,7,8,8,15.5,"Graduate"
1,5,9853,1,1,132,1,123.3,1,0,NA,0,0,6,4,6,3,10.8,"Dropout"
1,2,9670,1,1,124,1,124.4,0,0,0,0,NA,5,5,5,5,7.6,"Graduate"
1,1,9773,1,1,133.1,1,126,0,0,0,0,1,6,6,6,6,15.5,"Graduate"
3,1,9003,1,1,NA,1,170,0,0,1,0,0,1,0,6,0,8.9,"Enrolled"
1,3,9238,1,1,125,1,121.5,0,0,NA,0,0,6,5,6,4,13.9,"Graduate"
1,1,NA,1,3,130,1,130,NA,0,0,NA,NA,8,7,8,7,12.7,"Graduate"
1,1,9238,NA,1,125,1,NA,1,0,0,0,NA,6,3,6,2,16.2,"Dropout"
1,NA,9085,1,1,130,NA,130,1,0,NA,NA,0,5,4,NA,4,12.7,"Enrolled"
1,2,9556,1,1,133.1,1,108,0,0,0,0,0,7,7,8,8,15.5,"Graduate"
1,1,9500,1,1,131,1,NA,1,0,0,0,0,7,6,NA,6,7.6,"Graduate"
1,1,8014,0,1,150,1,148,0,0,NA,0,0,NA,3,6,5,9.4,"Graduate"
1,2,9254,1,NA,125,NA,122.6,1,0,1,0,0,6,4,6,6,11.1,"Dropout"
1,1,9670,1,1,131,NA,123,1,0,NA,0,1,5,3,NA,4,7.6,"Enrolled"
1,1,9853,1,1,130,1,102.5,0,0,NA,0,0,6,5,6,5,7.6,"Graduate"
NA,2,9500,1,1,123,1,113.3,1,0,0,0,0,7,4,7,4,7.6,"Dropout"
1,5,9853,1,1,NA,1,133,1,0,0,0,0,6,5,6,5,9.4,"Dropout"
1,1,9500,1,3,NA,1,140,0,0,0,0,0,NA,6,8,6,16.2,"Dropout"
1,1,9853,1,1,140,NA,128.3,NA,0,NA,0,0,21,21,19,19,12.4,"Graduate"
1,1,9991,0,39,NA,NA,140,NA,0,0,0,1,6,6,6,6,9.4,"Enrolled"
1,1,9773,1,19,133.1,1,104,0,0,1,NA,0,6,5,6,0,NA,"Dropout"
NA,3,9070,1,1,131,1,122.3,1,0,0,NA,0,6,6,6,NA,15.5,"Dropout"
NA,2,9254,1,1,143,1,NA,NA,0,NA,0,0,NA,NA,6,0,NA,"Dropout"
1,2,9147,1,NA,132,1,119.1,1,0,1,NA,NA,5,3,5,3,10.8,"Dropout"
1,1,9238,1,1,143,1,126.6,NA,0,NA,0,0,10,8,6,NA,NA,"Enrolled"
1,3,9500,1,1,NA,NA,129,1,0,0,NA,NA,7,6,7,6,7.6,"Graduate"
1,1,9085,NA,1,133.1,1,162.3,1,0,0,0,0,6,2,6,0,8.9,"Dropout"
1,NA,9070,1,NA,148,1,163.4,NA,0,0,0,NA,6,NA,6,6,16.2,"Graduate"
1,1,9254,1,NA,125,1,121.5,NA,0,0,0,1,6,6,6,NA,NA,"Graduate"
1,1,8014,0,1,120,1,122.8,0,0,0,0,0,6,2,5,NA,NA,"Enrolled"
1,1,9147,1,1,140,1,118,NA,0,0,0,0,5,0,5,NA,7.6,"Dropout"
NA,1,9853,1,1,139,1,134,0,0,NA,0,0,6,0,6,0,NA,"Dropout"
1,4,9500,1,1,142,1,129.8,1,0,0,0,0,NA,NA,8,7,12.7,"Graduate"
1,NA,9991,0,40,130,1,152,1,0,0,0,NA,5,0,5,0,8.9,"Dropout"
1,NA,9500,1,1,126,1,122.8,1,0,0,NA,0,8,8,8,8,9.4,"Graduate"
1,1,9119,1,3,150,1,150,0,0,0,NA,0,5,0,5,0,13.9,"Dropout"
1,1,9853,1,1,130,1,NA,0,0,0,0,0,7,NA,7,7,11.1,"Graduate"
1,1,9500,1,1,120,1,105.9,NA,0,0,0,0,3,3,3,NA,11.1,"Enrolled"
1,1,9085,1,NA,138,1,132.1,1,0,0,0,0,5,4,NA,4,10.8,"Graduate"
1,4,9238,1,NA,127,1,127.4,1,0,0,0,0,6,6,6,6,7.6,"Graduate"
1,4,NA,NA,1,140,1,129.5,1,0,0,0,0,8,7,8,7,10.8,"Graduate"
1,1,9238,1,39,130,1,126.7,0,0,1,0,0,6,6,6,6,13.9,"Graduate"
1,2,9238,1,1,128,1,NA,0,0,0,0,1,6,5,6,4,16.2,"Graduate"
1,NA,NA,1,1,132,1,119.1,1,0,0,0,0,6,4,6,4,7.6,"Graduate"
1,2,9500,1,1,149,1,126.5,1,0,0,NA,0,8,7,8,NA,12.7,"Graduate"
1,4,9773,1,1,155,1,149.8,NA,0,0,0,1,NA,6,NA,6,16.2,"Graduate"
1,1,9085,1,1,120,1,115.1,1,0,0,NA,0,6,6,6,NA,13.9,"Graduate"
1,1,9254,NA,NA,133.1,1,124.5,0,0,0,0,1,6,6,6,5,16.2,"Dropout"
1,NA,9500,1,1,131,1,128.3,1,0,0,NA,1,8,7,8,7,12.7,"Graduate"
1,1,9500,1,1,149,NA,136,0,0,NA,0,1,7,6,7,6,7.6,"Graduate"
1,1,9130,1,1,140,1,140,1,0,NA,0,1,6,6,6,6,NA,"Graduate"
1,1,9991,0,1,133.1,1,NA,0,0,0,0,1,5,0,5,0,16.2,"Dropout"
1,1,9773,1,1,122,1,126.9,0,0,0,0,0,6,6,6,6,7.6,"Graduate"
1,1,9556,1,40,130,1,145,0,0,0,0,NA,7,6,8,NA,15.5,"Enrolled"
1,1,9147,1,1,NA,1,NA,1,NA,0,0,1,5,5,5,5,12.4,"Graduate"
1,NA,8014,NA,1,120,1,100,1,0,0,0,0,6,NA,6,NA,9.4,"Dropout"
1,1,8014,0,1,133.1,1,102.5,0,0,0,0,1,NA,1,6,0,8.9,"Dropout"
1,1,9085,1,1,121,1,NA,0,NA,0,0,0,5,0,5,NA,7.6,"Dropout"
1,1,9147,1,1,133,1,147,0,0,0,0,1,5,4,5,NA,NA,"Graduate"
2,4,9853,1,1,134,1,122.5,0,1,0,0,1,6,6,6,6,10.8,"Graduate"
1,3,9254,1,1,NA,1,117.5,1,0,0,0,0,6,4,6,2,9.4,"Dropout"
NA,1,9500,1,1,NA,1,150,0,0,0,0,1,7,5,8,7,11.1,"Graduate"
1,1,9500,1,1,135,1,127.5,1,0,0,0,1,7,6,8,7,16.2,"Graduate"
2,1,9991,0,43,140,1,NA,0,0,0,0,0,6,6,5,5,11.1,"Graduate"
2,1,NA,1,3,130,1,130,0,0,0,0,0,5,5,NA,5,12.4,"Graduate"
1,NA,NA,1,1,135,1,133.3,0,0,0,0,1,6,6,6,6,11.1,"Graduate"
1,NA,NA,1,1,140,1,97,1,0,NA,0,0,5,NA,NA,0,7.6,"Dropout"
1,1,9500,1,1,120,1,NA,NA,0,0,0,1,8,7,NA,7,NA,"Graduate"
1,2,9254,1,1,140,1,123.6,1,0,NA,0,0,6,6,6,3,12.7,"Graduate"
1,1,9254,NA,3,133.1,1,130.5,0,0,0,0,0,6,0,NA,0,15.5,"Dropout"
1,2,9670,1,1,NA,1,133.3,0,NA,0,0,0,5,5,NA,5,9.4,"Graduate"
1,1,9254,1,NA,123,1,132.1,0,NA,0,0,1,6,5,6,5,15.5,"Graduate"
1,1,9147,1,1,133.1,1,100,0,0,NA,0,0,5,3,5,1,16.2,"Dropout"
1,1,9238,1,1,154,1,140.4,0,0,0,0,1,6,5,6,6,10.8,"Graduate"
1,1,9853,NA,1,148,NA,141.7,0,0,0,0,1,6,5,6,6,9.4,"Graduate"
1,2,9238,1,1,NA,NA,119.7,0,1,0,0,1,6,6,6,6,15.5,"Graduate"
1,1,9130,NA,1,126,1,122.5,NA,0,0,0,0,5,4,5,4,9.4,"Dropout"
1,NA,9085,1,19,133.1,1,140,0,0,1,0,0,6,3,6,3,16.2,"Dropout"
1,3,9500,1,1,125,NA,119.4,1,NA,NA,0,0,7,6,NA,NA,12.4,"Enrolled"
1,1,171,1,1,145,1,155,NA,0,0,NA,0,17,11,13,9,12.4,"Enrolled"
1,2,9147,1,1,NA,1,119.1,1,0,0,0,1,5,5,5,5,12.4,"Graduate"
NA,1,NA,1,1,120,1,122.7,0,0,NA,0,0,5,0,5,0,10.8,"Dropout"
1,1,9147,1,NA,127,1,117.9,0,0,0,0,1,10,9,10,10,NA,"Graduate"
1,1,9500,1,3,130,1,130,NA,0,0,NA,0,8,NA,8,8,9.4,"Graduate"
NA,3,9500,1,1,129,1,120,1,0,0,0,1,8,7,8,7,10.8,"Graduate"
1,1,9003,1,39,130,1,130,0,0,1,0,0,6,3,6,3,13.9,"Dropout"
1,3,9254,1,1,121,1,116.8,1,0,0,0,0,6,NA,6,4,11.1,"Graduate"
1,NA,9670,1,1,136,1,123.4,NA,0,0,0,1,6,6,6,5,11.1,"Graduate"
1,NA,NA,NA,1,125,1,125.4,NA,NA,0,0,0,6,5,6,5,9.4,"Enrolled"
1,3,9773,NA,1,131,1,NA,1,0,0,0,1,6,6,6,6,8.9,"Dropout"
1,1,9085,1,1,NA,1,103.4,0,0,0,0,0,5,5,5,5,NA,"Graduate"
1,1,9773,1,1,127,NA,123.2,1,0,NA,0,0,6,1,6,0,9.4,"Enrolled"
1,1,9147,1,1,136,1,124.1,0,0,0,0,0,5,5,NA,5,8.9,"Graduate"
2,1,9556,1,NA,133.1,1,99.5,1,0,1,0,1,7,1,7,0,8.9,"Dropout"
NA,1,9991,0,40,127,1,124.9,0,0,0,0,0,5,5,5,5,16.2,"Graduate"
1,3,9070,1,1,116,1,110.8,0,0,0,0,0,6,6,6,6,7.6,"Enrolled"
1,1,9238,1,1,121,1,118.9,1,0,0,0,1,6,5,6,5,12.4,"Graduate"
1,1,9238,1,1,124,1,118.8,1,0,1,0,0,10,6,7,NA,16.2,"Dropout"
1,1,9254,1,1,131,1,137,0,0,0,0,1,NA,6,6,5,15.5,"Graduate"
1,1,8014,0,NA,100,1,100,0,NA,0,0,0,6,0,6,0,12.7,"Dropout"
1,1,9119,1,1,130,1,120,0,0,NA,0,0,12,8,12,6,7.6,"Dropout"
1,1,NA,1,1,135,1,122.8,0,0,0,0,0,6,6,6,6,10.8,"Graduate"
1,1,9238,1,1,130,1,121.6,0,0,0,0,0,6,6,6,6,12.4,"Graduate"
1,2,9773,1,1,146,1,149.2,1,0,NA,0,0,6,4,6,3,9.4,"Graduate"
1,4,9500,1,1,146,1,140,1,0,0,0,0,8,7,8,7,12.7,"Graduate"
1,2,9773,1,1,154,1,133.4,1,0,0,0,NA,6,5,6,5,12.7,"Graduate"
1,NA,9070,1,1,NA,1,126.2,1,0,0,0,1,6,6,6,6,10.8,"Graduate"
NA,NA,9500,1,1,151,1,127.8,0,0,0,NA,NA,8,7,8,NA,12.7,"Graduate"
1,1,9003,1,39,150,1,NA,NA,0,0,0,1,6,6,6,5,13.9,"Graduate"
1,2,NA,1,1,121,1,113.7,1,0,0,0,0,5,2,5,1,7.6,"Dropout"
1,1,NA,NA,1,122,1,117.8,1,0,0,0,0,NA,5,5,5,13.9,"Graduate"
1,1,9500,1,1,143,1,136.7,0,0,0,NA,0,7,NA,8,8,11.1,"Graduate"
1,1,9238,1,1,152,1,144.7,0,0,0,NA,0,6,6,6,6,16.2,"Graduate"
1,3,9500,1,1,NA,1,139.8,1,0,0,0,0,7,7,8,8,13.9,"Graduate"
NA,1,9853,1,1,120,1,113.7,0,0,0,0,0,6,5,6,3,12.7,"Dropout"
